CaseID,trace,length
declaration 86791,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86795,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by PRE_APPROVER, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",5
declaration 86800,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by PRE_APPROVER, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",5
declaration 86731,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86735,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86805,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86809,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Declaration REJECTED by MISSING, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",7
declaration 86816,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86716,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86720,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Declaration REJECTED by MISSING, Declaration SUBMITTED by EMPLOYEE, Declaration REJECTED by PRE_APPROVER, Declaration REJECTED by EMPLOYEE, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by PRE_APPROVER, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",11
declaration 86820,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86824,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86828,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86739,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Declaration REJECTED by MISSING, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",7
declaration 86746,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86750,"<BOS>, Declaration SAVED by EMPLOYEE, <EOS>",1
declaration 86752,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86756,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86832,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86836,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86760,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86764,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Declaration REJECTED by MISSING, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",7
declaration 86771,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by PRE_APPROVER, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",5
declaration 86840,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Declaration REJECTED by MISSING, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",7
declaration 86776,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Declaration REJECTED by MISSING, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",7
declaration 86783,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86847,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86851,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86572,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86576,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86855,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86859,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86863,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86867,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86871,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86580,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86584,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86875,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by PRE_APPROVER, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",5
declaration 86588,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86592,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86880,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86884,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86888,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86596,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86600,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86604,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration REJECTED by SUPERVISOR, Declaration REJECTED by EMPLOYEE, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",7
declaration 86702,"<BOS>, Declaration SAVED by EMPLOYEE, <EOS>",1
declaration 86708,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration REJECTED by PRE_APPROVER, Declaration REJECTED by EMPLOYEE, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by PRE_APPROVER, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",8
declaration 86615,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by PRE_APPROVER, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",5
declaration 86620,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration REJECTED by PRE_APPROVER, Declaration REJECTED by EMPLOYEE, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by PRE_APPROVER, Declaration FINAL_APPROVED by SUPERVISOR, Declaration REJECTED by MISSING, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by PRE_APPROVER, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",12
declaration 86632,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by PRE_APPROVER, Declaration FINAL_APPROVED by SUPERVISOR, Declaration REJECTED by MISSING, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by PRE_APPROVER, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",9
declaration 86641,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by PRE_APPROVER, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",5
declaration 86646,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86650,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86654,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86658,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86662,"<BOS>, Declaration SAVED by EMPLOYEE, <EOS>",1
declaration 86664,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
declaration 86668,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
